titreOriginal,anneeSortie,langue,genre
J'Entends Plus La Guitare,1991,,
Krays,1990,,
Rage In Harlem,1991,,
Miami Blues,1989,,
Processo Do Rei,1990,,
Navy Seals,1990,,
Vieille Qui Marchait Dans La Mer,1991,Français,
Double Impact,1991,,
Fx 2 : The Deadly Art Of Illusion,1991,,
Oscar,1990,,
Family Plot,1976,,
Dial M For Murder,1954,,
Jésus De Montréal,1989,Français,
Marked For Death,1990,,
Fools Of Fortune,1990,,
Robin Hood : Prince Of Thieves,1991,,
Valse Des Pigeons,1990,,
Chicago Joe And The Showgirl,1990,,
Life Stinks,1991,,
Boom Boom,1990,Espagnol,
Carne,1991,Italien,
Atto Di Dolore,1989,,
Heathers,1988,,
King Ralph,1991,,
Meet The Feebles,1989,,Autres
Revenge,1990,,
Once Around,1990,,
Cover Up,1990,,
Don'T Tell Her It'S Me,1990,,
"Roald Dahl'S Danny, The Champion Of The World",1988,,
Teenage Mutant Ninja Turtles 2 : The Secret Of Ooze,1991,,
Edades De Lulú,1990,,
Miles From Home,1988,,
Graveyard Shift,1990,,
Hard Way,1991,,
Man Inside,1990,,
Leatherface : Texas Chainsaw Massacre 3,1990,,
Lost Angels,1989,Anglais,
Perfect Weapon,1991,,
Dishonored,1931,,
Cellini,1989,,
Spaced Invaders,1990,,
Nobody'S Perfect,1989,,
Problem Child,1990,,
Tien Shia De Yi,1984,,Autres
Kiss Before Dying,1991,,
Toujours Seuls,1991,,
Jalousie,1990,,
Véraz,1991,,
Julia Has Two Lovers,1990,Anglais,
Wings Of Fame,1989,,
Przesluchanie,1982,,
Disturbed,1990,,
Toto Le Héros,1991,,
Sale Comme Un Ange,1991,Français,
Robin Hood,1990,,
Innocent Lies,1995,,
Drapetis,1991,,
Hand That Rocks The Cradle,1991,,
How To Survive A Broken Heart,1991,,
Thin Blue Line,1988,,
Dead Poets Society,1989,,
Émotion Dissonante,1984,Français,Documentaire
Passiflora,1985,Français,Documentaire
Dernier Glacier,1984,Français,
Down By Law,1986,,
Mission,1986,Anglais,
Taxi Driver,1976,,
Big Sleep,1946,,
Assassin Jouait Du Trombone,1991,Français,
Weekend At Bernie'S,1989,,
Verso Sera,1991,,
Turné,1990,,
Un Type Bien,1990,,
Hudson Hawk,1991,,
Hidden Agenda,1990,Anglais,
Rachel Papers,1989,,
Duck Tales : The Movie - Treasure Of The Lost Lamp,1990,,
Moon 44,1990,,
City Slickers,1990,,
Warlock,1989,,
Omen 4 : The Awakening,1991,,
Commitments,1991,,
Amant,1992,Anglais,
Lune Froide,1991,Français,
Secret De Sarah Tombelaine,1991,,
Land Of The Pharaohs,1955,,
Two Jakes,1990,Anglais,Crime
Billy Bathgate,1991,Anglais,
Cape Fear,1991,,
Salammbô,1925,,
Boyz'N The Hood,1991,Anglais,
Nuits De Raspoutine,1960,,
Glory,1989,,
Too Late Blues,1962,,
Cry In The Dark,1988,,
Daddy Nostalgie,1990,Français,
Autrichienne,1990,,
Sommarlek,1951,,
Homme De Londres,1943,Français,
Nouvelle Vague,1990,Français,
Année De L'Éveil,1991,Français,
Fortune Express,1991,Français,
Enfant-Roi,1923,,
Sacre D'Édouard Vii,1902,,Autres
Jail Bird And How He Flew,1906,,
Videodrome,1983,Anglais,
Pat Garrett And Billy The Kid,1973,,Aventure
Martien De Noël,1971,Français,Autres
Birds,1963,,
Blackmail,1929,Anglais,
Elstree Calling,1930,,Sf
Easy Virtue,1927,,
I Confess,1953,,
Being At Home With Claude,1992,Français,
Frenzy,1972,Anglais,
Foreign Correspondent,1940,Anglais,
Man Who Knew Too Much,1956,,
Lodger,1926,,
Lifeboat,1944,,
Lady Vanishes,1938,Allemand,
Jamaica Inn,1939,,
Notorious,1946,,
North By Northwest,1959,,
Murder,1930,,
Mr. And Mrs. Smith,1941,,
Marnie,1964,,
Ring,1927,,
Rich And Strange,1932,,
Rebecca,1940,,
Rear Window,1954,,
Psycho,1960,,
Paradine Case,1947,,
Number Seventeen,1932,,
Spellbound,1945,,
Skin Game,1931,,Aventure
Shadow Of A Doubt,1943,,
Secret Agent,1936,,
Saboteur,1942,,
Sabotage,1936,,
Rope,1948,,
Trouble With Harry,1955,,
Torn Curtain,1966,Allemand,
Topaz,1969,Anglais,
To Catch A Thief,1955,,
39 Steps,1935,Anglais,
Suspicion,1941,,
Strangers On A Train,1951,,
Stage Fright,1950,,
Young And Innocent,1937,Anglais,
Wrong Man,1957,,
Waltzes From Vienna,1933,,
Vertigo,1958,,
Under Capricorn,1949,Anglais,
Little Women,1933,,
Sleeping Car,1990,,
Amours Célèbres,1961,Français,
Docteur Petiot,1990,Français,
Voir L'Éléphant,1990,,
Plein Fer,1990,Français,
Casse,1971,,
Music Box,1990,,
Femme De L'Aviateur,1981,,
Trois Pommes À Côté Du Sommeil,1989,Français,
Remous,1990,Français,Documentaire
Delicatessen,1991,Français,
Pagaille,1991,,
Gawin,1991,,
Où Que Tu Sois,1987,,
Married To The Mob,1988,Anglais,
Ganashatru,1988,,
Accused,1988,,
Il Gèle En Enfer,1990,,
Comme Un Voleur,1991,,Autres
Love-Moi,1991,Français,
Vincent And Me,1991,Anglais,
Goodfellas,1990,Anglais,
Phantom Of The Opera,1925,Anglais,Autres
Madonna : Truth Or Dare,1991,,Documentaire
Trou,1960,Français,
Fortune Cookie,1966,,
Mississippi Burning,1988,,
Un Coeur Qui Bat,1991,Français,
Une Histoire Inventée,1990,Français,
Comrade X,1940,,
Citadel,1938,Anglais,
Champ,1931,,
Bohème,1926,,
Bird Of Paradise,1932,Anglais,
Billy The Kid,1930,,Aventure
Big Parade,1925,,
Beyond The Forest,1949,,
American Romance,1944,,
Love In The Afternoon,1957,Anglais,
Man Without A Star,1955,,Aventure
Lightning Strikes Twice,1951,Anglais,
Voce Della Luna,1990,,
Japanese War Bride,1952,,
Tumultes,1990,,
Happiness,1924,,
Hallelujah!,1929,,
Adventures In Babysitting,1987,,
"H.M. Pulham, Esq",1941,,
Fountainhead,1949,,
Duel In The Sun,1946,,Aventure
Cynara,1932,,
Do The Right Thing,1989,,
Crowd,1928,,
Gloire De Mon Père,1990,Français,
Château De Ma Mère,1990,,
Wine Of Youth,1924,,
Wedding Night,1934,,
War And Peace,1956,,Historique
Texas Rangers,1936,,Aventure
Street Scene,1931,,
Stranger'S Return,1933,,
Stella Dallas,1937,,
Solomon And Sheba,1959,,
So Red The Rose,1935,,
Show People,1928,,
Ruby Gentry,1952,,
Patsy,1928,,
Our Daily Bread,1934,,
Not So Dumb,1930,,
Northwest Passage,1939,,Aventure
Grand Bleu,1988,Anglais,Aventure
Atlantis,1991,Français,Documentaire
Docteur M.,1990,Anglais,
Koenigsmark,1923,,
Koenigsmark,1935,,
Koenigsmark,1953,,
Phantom Of The Opera,1962,,Sf
Vampires,1915,,
Richard Cardinal : Cry From A Diary Of A Métis Child,1986,Anglais,Documentaire
Native Daughter,1989,,
And The Word Was Good,1987,Anglais,
Behind The Screen,1916,,
Bond,1918,,
Carmen,1915,,Autres
Circus,1928,,
City Lights,1931,,
Countess From Hong Kong,1967,,
Easy Street,1917,,
Gold Rush,1925,Anglais,
Great Dictator,1940,Anglais,
Idle Class,1921,,
Immigrant,1917,,
Kid,1921,,
King In New York,1957,,
Limelight,1952,,
Modern Times,1936,Anglais,
Monsieur Verdoux,1947,Anglais,
Pay Day,1922,,
Pilgrim,1923,,
Shoulder Arms,1918,,
Vagabond,1916,,
Woman Of Paris,1923,,
Ansikte Mot Ansikte,1976,,
Ansiktet,1958,,
Aus Dem Leben Der Marionnetten,1980,Allemand,
Djävulens Öga,1960,,
Efter Repetitionen,1984,,
Fängelse,1949,,
Fanny Och Alexander,1982,,
Farödokument 1979,1979,,
För Att Inte Tala Om Alla Dessa Kvinnor,1964,,
Gycklarnas Afton,1953,Suédois,
Hamnstad,1948,,
Herbstsonate,1978,Anglais,
Jungfrukällan,1959,,
Kvinnodröm,1955,,
Kvinnors Väntan,1952,,Comédie
Musik I Mörker,1947,,
Nära Livet,1958,,
Nattvardsgästerna,1962,,
Passion,1969,Suédois,
Persona,1966,Suédois,
Reservatet,1970,,
Riten,1969,,
Såsom I En Spegel,1961,Suédois,
Scener Ur Ett Äktenskap,1973,Suédois,
Schlangenei,1977,,
Sjunde Inseglet,1957,Suédois,
Skammen,1968,,
Skepp Till Indialand,1947,,
Smultronstället,1957,,
Sommaren Med Monika,1953,,
"Europa, Europa",1990,,
Sommarnattens Leende,1955,,
Basic Instinct,1992,,
Till Glädje,1950,,
Törst,1949,Allemand,
Touch,1971,Anglais,
Trollflöjten,1975,Suédois,
Schatz Der Asteken,1965,,
Great Balls Of Fire,1989,Anglais,
Tystnaden,1963,,
Deuxième Souffle,1966,Français,
Batman,1989,,
Vargtimmen,1968,Norvégien,
Viskningar Och Rop,1972,,
American Friends,1991,,
My Own Private Idaho,1991,,
Bar Des Rails,1991,,
Équilibristes,1991,,
Blanc D'Ébène,1991,,
Dahong Deulong Gaogao Gua,1991,,
Ciel De Paris,1991,,
Dernière Saison,1991,,
Casa Del Sorriso,1990,Italien,
Lola Zipper,1990,,
Nashville,1975,Anglais,
Himmel Über Berlin,1987,,
Lettres D'Amour En Somalie,1981,,
Bidone,1955,,
Accidental Tourist,1988,,
Man Who Knew Too Much,1934,,
Akahige,1965,Japonais,Autres
Yume,1990,Français,
Dersu Uzala,1975,,
Dodeska-Den,1970,,
Donzoko,1957,Japonais,
Hakuchi,1951,,
Ikiru,1952,,
Ichiban Utsukushiku,1944,,
Ikimono No Kiroku,1956,,
Doors,1991,,
Inspiration,1931,,
Viaggio Di Capitan Fracassa,1990,,
On A Volé La Joconde,1966,,
Good Mother,1988,Anglais,
Fatal Attraction,1987,Anglais,
Kagemusha,1980,,Historique
Kakushi Toride No San Akunin,1958,,Autres
Kumonosu-Jo,1957,,Autres
Nora Inu,1949,,
Ran,1985,Japonais,
Rashomon,1950,,Autres
Tsubaki Sanjûrô,1962,,Autres
Shichinin No Samurai,1954,,Autres
Shizukanaru Ketto,1949,,
Shûbun,1950,,
Subarashiki Nichiyobi,1947,,
Sugata Sanshiro,1943,,Autres
Zoku Sugata Sanshiro,1945,,Autres
Tengoku To Jigoku,1963,,Crime
Tora No O O Fumu Otokotachi,1945,Japonais,
Waga Seishun Ni Kui Nashi,1946,,
Warui Yatsu Hodo Yoku Nemuru,1960,,Crime
Yoidore Tenshi,1948,,Autres
Yojimbo,1961,Japonais,Autres
Laada,1991,,
Citizen Kane,1941,,
Blow-Up,1966,,
8 1/2,1963,,
Mistons,1958,Français,
Une Histoire D'Eau,1958,,
Amour À Vingt Ans : Antoine Et Colette,1962,,
Entre Deux Soeurs,1991,Français,Animation
Giulietta Degli Spiriti,1965,Italien,
Easy Rider,1969,,
Pickpocket,1959,Français,
Last Temptation Of Christ,1988,Anglais,
Yakuza,1975,,
Blue Collar,1978,,
Presa Di Potere Di Luigi Xiv,1966,Français,Historique
Baby Boom,1987,,
Deutschland Bleiche Mutter,1980,,
Subjektive Faktor,1981,,
Cosmic Eye,1985,,
Rapt,1934,,
Gone With The Wind,1939,,Historique
Matou,1985,Français,
Déclin De L'Empire Américain,1986,Français,
Sonatine,1984,Français,
This Is My Life,1992,,
Clockwork Orange,1971,,
Maestro,1989,Anglais,
Afraid Of The Dark,1991,Anglais,
Rebro Adama,1990,,
"588, Rue Paradis",1991,,
Dingo,1990,Anglais,
Août,1991,,
People Under The Stairs,1991,,
Year Of The Gun,1991,,
À La Vitesse D'Un Cheval Au Galop,1991,,
For The Boys,1991,,
Mississippi One,1991,,
Conte D'Hiver,1991,Français,
Little Man Tate,1991,,
Amelia,1990,,
Til En Ukjent,1990,Norvégien,
Bal Des Casse-Pieds,1991,,
Last Boy Scout,1991,,
Shadows And Fog,1991,,
Ricochet,1991,,
Nord,1991,,
Dinosaurs,1991,,
Frankie & Johnny,1991,,
Amoureuse,1987,Français,
Affût,1991,,
Cinéma Au Service De L'Histoire,1935,,
Searchers,1956,,Aventure
Two Rode Together,1961,,Aventure
Un Amour De Swann,1984,Français,
"Sous Les Draps, Les Étoiles",1989,Français,
Comanche Station,1960,,Aventure
Bay Boy,1984,Anglais,
Unforgiven,1960,,Aventure
Trois Hommes Et Un Couffin,1985,Français,
One Flew Over The Cuckoo'S Nest,1975,,
Birth Of A Nation,1915,,
Mépris,1963,,
Anne Of The Indies,1951,,
Cat People,1942,Anglais,
Adynata,1983,,
Korczak,1990,,
Britannia Hospital,1982,,
Young Playthings,1972,,
Wizard Of Gore,1970,,Sf
God Told Me To,1976,,
Daughter Of Horror,1955,,
"Spider Baby, Or, The Maddest Story Ever Told",1965,,
After Hours,1985,,
Alice Doesn'T Live Here Anymore,1974,,
American Boy : A Profile Of Steven Prince,1978,,
Boxcar Bertha,1972,,
Big Shave,1967,,
Color Of Money,1986,,
Italianamerican,1976,,
"It'S Not Just You, Murray",1964,,
King Of Comedy,1983,,
Last Waltz,1978,,
Mean Streets,1973,,
New York New York,1977,,
Raging Bull,1980,,
Who'S That Knocking At My Door?,1967,,
Au Nom Du Père Et Du Fils,1992,,
Dead Again,1991,,
Voyage A Melonia,1989,,
Condanna,1990,,
Trust,1990,,
Ace Ventura : Pet Detective,1995,,
Betty,1992,,
Grand Canyon,1991,,Aventure
Fuglekriegen I Kanofleskoven,1990,,
Diên Biên Phu,1991,,
"Favour, The Watch And The Very Big Fish",1991,,
Ville À Vendre,1992,,
Voix,1992,,
Mambo Kings,1992,,
Naked Lunch,1992,Anglais,
Kafka,1991,,
Campanadas A Medianoche,1965,Anglais,Comédie
Napoléon,1927,,Autres
Coquille Et Le Clergyman,1928,,
Souriante Madame Beudet,1923,,
Argent,1928,,
Sous Les Toits De Paris,1930,,
Marius,1930,,
Fanny,1932,Français,
César,1936,,
Bête Humaine,1938,,
Jour Se Lève,1939,Français,
Belle Et La Bête,1946,,
Vacances De Monsieur Hulot,1953,,
Casque D'Or,1952,Français,
Hiroshima Mon Amour,1959,Anglais,
À Bout De Souffle,1960,Anglais,
Ma Nuit Chez Maud,1969,Français,
Sauve Qui Peut (La Vie),1980,Français,
À Nos Amours,1983,Français,
Nuits De La Pleine Lune,1984,,
Sans Toit Ni Loi,1985,Français,
Journal D'Un Curé De Campagne,1951,,
Vocation Suspendue,1977,,
Cet Obscur Objet Du Désir,1977,Français,
Daisy Kenyon,1947,,
Ochazuke No Aji,1952,,
Doulos,1962,,
Argent,1983,Français,
Homicide,1991,Anglais,
Shakha Proshakha,1990,,
Not Without My Daughter,1989,,
L.A. Story,1990,,
Simple Mortel,1991,Français,
Life Is Sweet,1990,,
Rider Of Death Valley,1932,,Aventure
End Of Trail,1932,,
Thundering Herd,1933,,Aventure
Scarlet River,1933,,Aventure
Sundown Rider,1936,,
In Old Santa Fe,1935,,
Last Outlaw,1936,,Aventure
Tempête,1939,,
Trouble In Texas,1937,,Aventure
Cherokee Strip,1937,,Aventure
Texas Trail,1925,,Aventure
Painted Stallion,1937,,Aventure
Born To The West,1938,,Aventure
Rawhide,1938,,
Lawless Valley,1939,,
Heart Of The North,1938,,
Arizona Bound,1941,,Aventure
My Darling Clementine,1946,,Aventure
Pursued,1947,,Aventure
City Of Hope,1991,,
Mari De La Coiffeuse,1990,Français,
Santa Fe Trail,1940,,Aventure
Caravan Of Courage,1984,,
Cyrano De Bergerac,1990,Français,
Fort Apache,1948,Anglais,Aventure
Station West,1948,,Aventure
Un Week-End Sur Deux,1990,,
Black Narcissus,1947,,
Gloria,1980,,
Aventure De Catherine C.,1989,,
Family Business,1989,,
Fabulous Baker Boys,1989,,
Rio Bravo,1959,,Aventure
Blood On The Moon,1948,Anglais,
Colorado Territory,1949,,Aventure
Lust For Gold,1949,,Aventure
Gunfighter,1950,,Aventure
Devil'S Doorway,1950,,Aventure
Tandem,1987,,
Au Revoir Les Enfants,1987,Allemand,
Passion Béatrice,1987,Français,
Last Emperor,1987,Anglais,Historique
Chocolat,1988,Français,
Lectrice,1988,,
Who Framed Roger Rabbit?,1988,Anglais,
Rocky Mountain,1950,,Aventure
Best Of The Badmen,1951,Anglais,Aventure
Springfield Rifle,1952,,Aventure
Man From Laramie,1955,,Aventure
Man Alone,1955,,Aventure
Tall T,1957,,Aventure
3 : 10 To Yuma,1957,Anglais,
Ride The High Country,1962,,Aventure
Will Penny,1968,,Aventure
Wild Bunch,1969,,Aventure
Ulzana'S Raid,1972,,Aventure
Outlaw Josey Wales,1976,,Aventure
Shootist,1976,,Aventure
At Play In The Fields Of The Lord,1991,,
Faces,1968,,
Promenades D'Été,1992,,
Enfants Du Naufrageur,1991,,
Shining Through,1992,,
Doctor,1991,,
O Slavnosti A Hostech,1966,Tchèque,
Méchant Garçon,1991,,
Destry Rides Again,1939,,Aventure
Shining,1980,,
Man Who Shot Liberty Valance,1962,,Aventure
Time Of Their Lives,1946,,
Brute Man,1946,,Sf
Scarlet Claw,1944,,
Invisible Man'S Revenge,1944,,
Jungle Woman,1944,,Sf
Mummy'S Ghost,1944,Anglais,
Ghost Catchers,1944,,Sf
Pearl Of Death,1944,,
Climax,1944,,Sf
Dead Man'S Eyes,1944,Anglais,
Murder In The Blue Room,1944,,
Destiny,1944,,
House Of Frankenstein,1945,Anglais,Sf
Mummy'S Curse,1944,,Sf
House Of Fear,1945,,
That'S The Spirit,1945,,
Frozen Ghost,1945,,
Jungle Captive,1945,,Sf
Woman In Green,1945,Anglais,
Strange Confession,1945,,
Pursuit To Algiers,1945,,
House Of Dracula,1945,,Sf
Pillow Of Death,1945,,
Terror By Night,1946,,
Spider Woman Strikes Back,1946,,Sf
House Of Horrors,1946,Anglais,
Night In Paradise,1946,,
She-Wolf Of London,1946,,
Cat Creeps,1946,,Sf
Dressed To Kill,1946,Anglais,
Out Of Africa,1985,,
Front Page,1974,,
Halloween,1978,,Sf
Stazione,1991,,
Prince Of Tides,1991,,
Bian Zhou Bian Chang,1991,Mandarin,Drame
À Quoi Tu Penses-Tu?,1991,,
Bugsy,1991,,
Inner Circle,1991,,
Vie De Bohème,1992,Français,
Family Express,1990,,
Esquizo,1970,,
Offret,1986,,
Border Line,1991,,
Final Analysis,1992,,Crime
Fils Du Mekong,1991,,
Queen Of Hearts,1989,,
Marcellino,1991,,
Trumpet No 7,1991,,
Vierde Man,1983,,
Young Soul Rebels,1991,,
Adventure For Two,1943,,
Pimpernel Smith,1941,,
Went The Day Well?,1942,,
First Of The Few,1942,,
In Which We Serve,1942,Anglais,
Convoy,1978,,
We Dive At Dawn,1943,,
One Of Our Aircraft Is Missing,1942,,
Way Ahead,1944,,
"San Demetrio, London",1943,,
Journey Together,1945,,
Target For To-Night,1941,Anglais,Documentaire
Coastal Command,1944,,
Diary For Timothy,1945,,
Fires Were Started,1943,,
Great Day,1945,,
First Days,1942,,
These Are The Men,1943,,
Lion Has Wings,1939,,
Ferry Pilot,1942,,
Merchant Seamen,1941,,
Men Of The Lightship,1940,,
Dracula,1931,Anglais,
Frankenstein,1931,Anglais,
Murders In The Rue Morgue,1932,,
Old Dark House,1932,,
Mummy,1932,,
Secret Of The Blue Room,1933,,
Invisible Man,1933,,
Black Cat,1934,,
Secret Of The Chateau,1934,,
Man Who Reclaimed His Head,1934,,
Life Returns,1935,,
Mystery Of Edwin Drood,1935,,
Night Life Of The Gods,1935,,
Bride Of Frankenstein,1935,Anglais,
Werewolf Of London,1935,,Sf
Raven,1935,Anglais,Sf
Great Impersonation,1935,,Sf
Invisible Ray,1936,,
Dracula'S Daughter,1936,,Sf
Night Key,1937,,
Black Doll,1938,,
Missing Guest,1938,,
Son Of Frankenstein,1939,Anglais,
Tower Of London,1939,Anglais,
Black Friday,1940,,Sf
House Of The Seven Gables,1940,,
Invisible Woman,1941,,Sf
Mummy'S Hand,1940,,Sf
Man Made Monster,1941,,
Horror Island,1941,,
Black Cat,1941,,
Hold That Ghost,1941,,
Wolf Man,1941,,Sf
Mad Doctor Of Market Street,1942,,Sf
Ghost Of Frankenstein,1942,,Sf
Mystery Of Marie Roget,1942,,
Strange Case Of Dr. Rx,1942,,Sf
Invisible Agent,1942,,Sf
Sherlock Holmes And The Voice Of Terror,1942,,
Mummy'S Tomb,1942,Anglais,
Night Monster,1942,,Sf
Sherlock Holmes And The Secret Weapon,1942,,
Vörös Riport-Film,1919,,
Player,1992,Anglais,
Gekashitsu,1991,,
Frankenstein Meets The Wolf Man,1943,,Sf
Sherlock Holmes In Washington,1943,,
Captive Wild Woman,1943,,Sf
Sherlock Holmes Faces Death,1943,,
Flesh And Fantasy,1943,,
Son Of Dracula,1943,,Sf
Mad Ghoul,1943,,Sf
Calling Dr. Death,1943,,
Sherlock Holmes And The Spider Woman,1944,,
Weird Woman,1944,,Sf
Mauvais Sang,1986,,
Ashakara,1991,Français,
Working Girls,1986,,
Klute,1971,,
Crimes Of Passion,1984,,
Blue Velvet,1986,,
Sunset Boulevard,1950,,
All Quiet On The Western Front,1980,,
Tale Of Two Cities,1989,,
Thief Of Bagdad,1940,,
Tales Of Hoffmann,1951,Anglais,Musical
Sauver Les Films : Une Mémoire Pour Demain,1991,,
Roi Et L'Oiseau,1979,Français,Animation
Comin' Thro' The Rye,1923,,
Evergreen,1934,,
Sing As We Go,1934,,
Millions Like Us,1943,,
This Happy Breed,1944,,
Big Lift,1950,,
Color Purple,1985,,
In Country,1989,,
Manthan,1977,,
His Girl Friday,1940,,
Switching Channels,1988,,
Animal Crackers,1930,,
Ladies Of Leisure,1930,,
Bad One,1930,,
Big House,1930,,
Dawn Patrol,1930,,
Office Wife,1930,,
Morocco,1930,,
Min And Bill,1930,,
Fast And Loose,1930,,
Paid,1931,,
Cimarron,1931,,Aventure
Public Enemy,1931,,
American Tragedy,1931,,
Yellow Ticket,1931,,
Girls About Town,1931,,
Private Lives,1931,,
House Divided,1932,,
Mata Hari,1932,,
Man Who Played God,1932,,
Tarzan The Ape Man,1932,,Aventure
Night World,1932,,
Scarface,1932,,
Rain,1932,,
Virtue,1932,,
Hot Saturday,1932,,
Red Dust,1932,,
Call Her Savage,1932,,
Animal Kingdom,1933,,
Cavalcade,1933,,
Frisco Jenny,1933,,
Bitter Tea Of General Yen,1933,,
Silver Cord,1933,,
Pouvoir Intime,1986,Français,
"Paris, Texas",1984,,
Cesarée,1979,Français,
Gay Desperado,1936,,
